Airtel,Asian Paints,Axis bank,Coal India,LT,Reliance,SBI,Tata Motors,Tata steel,Wipro
374.75,1265.25,507.6,266.45,1689.55,1235.1,261.65,271.2,543.25,255.85
380.15,1273.7,514.05,264.5,1687.8,1269.5,267.15,277.35,549.35,257.25
373.6,1254.05,515.15,259.05,1702.4,1269,268.3,289.85,558.5,257.45
374.6,1268.2,524.65,265.1,1698.6,1295.5,273.25,308.15,560.45,257.95
368.2,1254.4,513.25,267.75,1701.8,1290.3,268.7,306.55,558.2,259
372.25,1272.1,519.15,270.6,1723.05,1307.05,273.25,305.6,563.3,259.8
371.15,1268.65,516.75,273.1,1736.45,1314.1,272.4,304.65,554.85,261.65
371.25,1276.7,522.05,274.6,1753.85,1323.15,276.85,308.75,558.7,265.6
377.55,1281.05,528,279.05,1750.6,1328.7,277.55,303.2,565.95,266.85
376.15,1285.85,531.75,283.55,1754.25,1345.3,282.7,305.75,569.4,266.75
376.1,1282.4,539.75,283.9,1726.75,1357.15,287.65,308.15,567.5,268.95
381.05,1284.45,536.8,283.5,1735.8,1363.75,282.85,308,579.8,266.35
388.75,1284.9,540.1,287.8,1761.45,1342.6,273.65,309.85,588.75,264.25
376.75,1277.4,536.45,289.9,1737.05,1343.6,272.7,310.05,599.5,263.8
379.95,1287.7,542.15,289.05,1736,1354.2,269.25,305.3,601.35,264.55
380.35,1263.75,530.2,291.05,1776.7,1349.6,269.9,295.5,579.7,259.4
363.8,1273.05,529.8,285.4,1774.5,1334,263.5,285.35,571.95,255.4
371.85,1281.8,536.05,292.3,1787.55,1360.3,263.1,286.65,566.95,260
382.6,1293.5,537.15,294.15,1775.8,1371.3,266.75,287.2,560.35,260.45
373.8,1305.6,543.3,294.5,1804.65,1367.6,269.2,282.9,575.45,261.9
375.9,1291.9,539.9,288.75,1784.2,1365.2,266.9,288.95,578.1,260.75
378.25,1299.15,545.9,282.15,1791.85,1380.1,264.9,294.6,575.25,262.95
374.2,1319.5,546.45,284.95,1759.75,1377.6,272.25,296.2,575.6,263.35
376.65,1289.65,538.45,276.05,1766.85,1343.8,267,294.2,567.2,264.95
371.45,1290.2,534.45,279.85,1788,1338.65,268.5,288.95,548.4,264.2
356.8,1278.2,520.35,275.8,1787.25,1327.2,263.2,309.25,539.25,263.25
361.9,1286.1,523.3,278.45,1768.7,1319.95,254.15,307.75,577.2,265.05
360.2,1300,528.7,269.75,1684.95,1314,245.1,296.55,576.9,264.9
361.95,1306.95,532.7,266.4,1741,1316.05,239.2,305.25,591.5,269.45
366.55,1309.7,539.5,271.4,1751.8,1364.3,243.3,315.15,610.05,277.45
375.35,1320.8,549.35,264.7,1724.1,1364.75,243.15,310.4,622.05,274.3
379.4,1310.05,549.45,264,1721.9,1376.1,248.6,310.25,624.05,270.4
381.5,1298.45,552.25,269.7,1755.45,1380.35,253.35,324.15,610.1,271.5
385.7,1289.6,553.2,270.55,1745.2,1387.05,250.9,330.75,606.65,271.9
412.25,1214.7,547.65,268.9,1738.3,1364,247.95,333.35,593.75,269.8
402.6,1224.1,548.6,267.7,1739.5,1373.05,248.8,341.35,602.45,270.5
400.75,1205.6,541.25,268.55,1736.25,1364.85,250,332.1,596.15,272.3
398,1212.9,534.95,267.65,1740.3,1388.5,246.5,335.05,595.95,274.15
396.6,1194.25,520.3,271.75,1742.8,1370.25,241.95,334.25,581.3,270.15
404.4,1206.5,532.4,277.45,1708.65,1380.25,241.8,333.45,585.65,270.15
408,1221.75,523.45,280.75,1724.85,1401.6,240.65,336,575.05,275.5
409.55,1200.15,518.05,283.85,1732.1,1400.6,246.3,340.2,594.7,278.75
