BHEL,BOB,Britannia,Colgate,Dabur,Godrej,Havells,MRF,Oracle FS,Titan
73.45,146.15,6200.4,1144.95,443.2,1299.6,677.55,77200.2,3915.3,927.25
75.05,150.55,6326.7,1124.5,436,1312.4,657.7,76892.3,3909.35,901.65
74,149.6,6392.7,1122.95,436.9,1329.7,643.45,78477.15,3971.2,919.2
73.7,147.25,6457.4,1115.3,428.9,1326.75,637.05,78372.95,3870.45,921.5
73.55,150.2,6489.85,1122.75,432.25,1319.6,632.2,79578.85,3856.9,917.35
74.05,153.35,6542.2,1145.25,421.55,1316.9,634.4,79490.35,3878.3,912.35
73.3,152.05,6331.45,1123.05,393.45,1310.7,625.8,79931.4,3912.5,892.05
71.15,137.85,6385.2,1102.5,386,1308.4,625.05,80860.45,3914.8,884.1
70.7,138.85,6450.3,1085.05,373.3,1335.7,614.75,78644.75,3882.35,854.5
71.65,131.8,6444,1124.5,371.6,1356.45,602.8,78208.75,3881.3,865.9
73.45,132.55,6466.45,1117.8,373.7,1355.85,598.6,77627.9,3863,861.65
69.5,126.3,6435.95,1112.15,373.9,1347.35,610.05,77782.5,3888.05,858.75
67.5,120.25,6358.15,1125.05,373,1287.05,560.4,76812.45,3883.25,860.4
66.15,120.05,6372.3,1124.65,375.3,1314.3,561.75,74475.3,3865.35,869.85
66.55,117.65,6365.8,1107.45,374.25,1327.15,561.25,73852.35,3941.8,846.2
68.05,120.8,6426.9,1124.7,377.85,1303.8,555,74608.95,3881.6,845.15
65,113.05,6532.7,1142.6,367.3,1300.85,560.05,74332,3917.35,831.2
67.15,117.4,6475.1,1160,376.1,1309.65,560.2,77059.75,3938.3,838.7
69.25,119.45,6405.65,1150.65,378.1,1317.5,561.5,77611.2,3884.05,808.45
70.85,116.2,6357.75,1142.5,378.7,1324.35,566.8,76153.8,3904.3,809.5
71.55,119.5,6389.7,1155.15,376.25,1255.5,573.95,75943.9,3963.35,832.85
70.1,117,6382.85,1150.05,375.15,1258.45,553.4,75505,3890.2,821.8
70.35,115.55,6309.9,1144.5,370,1250,551,75097.15,3779.25,829.65
67.8,113.25,6307.3,1149.45,376.8,1247.6,545.75,75477.4,3870.05,838
69.2,113.1,6299.75,1166.2,379.75,1263.8,547.4,75896.95,3921.05,886.55
70,113,6216.55,1150.5,384.75,1250.55,543.5,75459.2,4003.9,893.2
71.2,113.65,6232.95,1167.75,383.7,1235.1,532.75,75197.8,4050.25,897.4
71.75,112.65,6213.75,1184.85,391.45,1225.7,543.35,74974.45,4074.7,878.5
69.75,113,6129.55,1155.55,387.45,1217.95,522.9,72933.05,4158.2,836.35
71,115.15,6087.6,1181.45,393.5,1208.55,537.45,74037.55,4053.85,869.65
73.25,118.05,6050.1,1189.35,386.5,1191.25,532.85,74972.75,4059.4,872.15
73.35,116.8,5977.4,1180.45,384.45,1160.45,535.3,75186.7,4031.7,864
75,121.5,5959.45,1179.95,385.15,1165.95,542.65,75703.4,4080.75,877.55
75.45,122,5962.7,1177.75,385.6,1166.7,532.85,74771.65,4047.85,868.4
74.9,125.1,5995.55,1192.7,379.8,1162.25,534.9,74877.65,4054.1,888.35
74.4,127.85,5976.55,1192.4,379.85,1165.1,539.35,74849.8,4115.25,889
75.95,130.4,6074,1204.9,386.4,1160.05,547.35,74359.8,4152.25,897.7
75.15,131.3,6136.6,1219.45,383.85,1162.9,555.45,75351.15,4107.85,903.45
76,135.15,6001.75,1231.9,386.9,1170.6,548.2,75349.6,4008.7,905.25
78.05,136.75,6017.15,1239,388.15,1169.1,559.45,75048.05,4000.4,918.15
78.3,133.35,5946.6,1225.55,387,1171.95,557.75,75580.7,3988.8,904.7
77.45,133.7,5910.45,1229.85,386.2,1139.45,558.7,76407.6,3950.65,903.35
77.55,132.25,5917.65,1229.95,382.35,1168.55,552.9,75929,3849.45,896
76.35,131.4,5993.3,1234.3,383.95,1164.1,547.3,75427.45,3832.65,887.15
74.6,130.25,5876.95,1230.45,378.6,1145.8,533.2,74282.5,3767.25,899.45
73.15,127.75,5811.8,1234.9,380.9,1136.4,528.55,73815.65,3722.5,863.95
75.25,131.55,5766.2,1233.75,384.95,1134.65,536.6,74480.6,3769.35,885.35
80.35,136.95,5812.45,1247.1,386.75,1161.35,539.05,74848.9,3823.25,900
83.65,136.85,5923.95,1259.7,383.3,1139.15,544.15,75734.05,3942.9,900.1
83,138.45,5789.85,1250.5,381.9,1133.45,558.15,77087.6,3763.8,913.6
83.45,140.4,5805.1,1241.7,385.55,1133.95,548.7,76392.25,3809.15,914.5
79.25,145.4,5842.95,1255.65,377.8,1119.85,563.05,76062.35,3853.9,928.9
75.05,141.3,5827.5,1257.4,378.3,1123.65,542.55,73866.4,3879.2,924.4
74.85,138.85,5718.2,1251.35,369.5,1118.5,534.5,73600.7,3895.1,921.3
75.3,136.6,5715.7,1234.85,368.2,1104.6,543.75,74140.5,3830.85,920.1
76.05,132.9,5604.4,1230.6,374.7,1078.05,549.1,73873.45,3790.05,914.2
75.05,129.9,5521.6,1208.45,373.15,1080.85,524.2,73102.1,3819.75,915.25
76.4,126.7,5597.05,1222.2,374.55,1084.8,523.25,74206.2,3862.15,939.95
79.25,130,5476.75,1176.1,371.35,1081.05,539.95,74559.95,3986.9,936.5
79.3,132.05,5542.2,1178.2,373.85,1093.55,546.15,74873.4,3998.85,931.15
78.1,139.65,5454.8,1151.5,370.65,1082.55,544.2,74604.95,3974.55,931
77.75,142.7,5464.1,1111.25,370.5,1081.25,544.7,74737.35,4105.75,920
80.65,142.7,5477.7,1109,366.45,1079.2,547.5,74675.5,4117.65,956.05
80.6,138.65,5386.45,1095.95,367.85,1078.35,537.75,74881.45,4228.5,973.1
83.6,144.3,5401.5,1093.4,368.55,1090.25,553.9,76019.8,4269.5,985.7
83.3,145.6,5444.7,1095.9,369.7,1124,547.95,75746.75,4225.2,968.1
84.35,143.55,5472.7,1102.65,369.35,1103.65,548,76115.05,4238.35,968.95
84.25,139.9,5384.5,1098.4,370.35,1107.2,540.4,75721.5,4175.55,958.1
85.55,143.05,5337.1,1102.25,369.9,1113.75,527.3,77028.15,4270.95,959.35
87.85,144.3,5425.05,1129.65,371.8,1119.15,543.05,79610.8,4207.65,964.5
87.8,148.95,5513.2,1123.2,369.4,1117.05,547.25,79933.45,4310.1,981.8
86.85,143.2,5460.75,1102.35,366.45,1115.2,549.75,80413.25,4318.4,970
86.35,137.35,5373.4,1103,357.1,1112.45,545,76509.15,4188.8,969.5
85.8,136.35,5375.3,1109.85,358.9,1093.4,538.55,77496.4,4238.5,960.85
88.35,141.85,5297.2,1100,356.9,1127.1,541.05,77948.4,4201.5,961.95
89.3,144.15,5313.05,1105.2,357.6,1114.85,546.1,77961.45,4244.9,962.95
89.35,143.6,5322.35,1102.2,355.15,1119.55,548.25,78110.1,4306.05,956.55
88.45,145.35,5395.8,1111.35,358.35,1115.75,551.85,79320,4142.9,952.75
87.85,141.65,5361.65,1105.25,355.85,1131.3,547.25,79069.85,4125.2,977.1
88.15,147.85,5342.1,1099,343.75,1076.4,550.25,79771.65,4114.05,997.6
88.45,149.85,5312.35,1099.25,343.5,1078.1,546,78370.5,4136.85,980.5
88.2,150.45,5208.9,1097.15,340.45,1071.9,547,78091.35,4030.8,987.15
89.25,148.85,5162.85,1102.9,345,1077.6,548.25,77613.7,4008.85,976.05
90.6,150.6,5135.35,1095.65,344.4,1075.2,530.85,76467.6,3946.4,979.95
88.95,153.25,5134.25,1091.4,337.05,1077.5,534.65,76831.1,3928.65,962.25
88.5,153.3,5162.9,1095.3,342.2,1083.2,534.25,77243.9,3929.4,960.65
87.6,150.4,5178.25,1096.4,342.85,1089.8,533.15,77137.25,3878.1,940.3
87.2,147.8,5067.85,1091.35,336.9,1085.8,512.65,77012.55,3918.8,920.05
85.15,139.9,5024.4,1091.4,335.5,1085.2,504.35,74734.2,3923.2,904.35
85.7,145.35,5099.8,1085,337.7,1105.5,508,75502.4,4030.9,931.95
82.45,141.9,5107.05,1057.2,335.9,1115.35,507.6,73122.45,3938.45,944.1
81.35,142.3,4970.6,1056.9,328.4,1093.65,487.85,72513.25,3745.35,942.3
82.8,143.7,4964.8,1043.95,324.85,1082.75,494.3,72656.05,3768.1,942.4
82.25,141.5,4858,1043.75,315.55,1103.15,491.15,69961.75,3748.55,939.05
81.4,133.2,4839.65,1037.2,318.2,1094.9,492.65,69236.9,3797.2,895.05
81.4,134.95,4838.2,1045.2,316.95,1084.05,495.9,69489.3,3816.05,887.55
83.05,135.6,4834.45,1042.9,322.45,1076.55,498.8,69966.45,3828.75,872.25
84.1,135.85,4825.05,1040.65,319.35,1068.45,499,69593.05,3797.85,871.75
83.75,133.35,4815.55,1034,319.7,1047.3,506.5,70074.85,3880.05,869
86.4,143.8,4860.6,1044.45,321.25,1056,516.6,70211.65,3888.35,879.25
87.05,143.75,4868.25,1042.35,325.05,1072.9,520.75,71737.95,3922.7,872.5
86.5,145.75,4823.75,1034.6,325,1086.5,517.1,71281.65,3940.65,865
86.9,141.55,4869.95,1044.9,325.15,1092.45,514.3,71717.3,3932.1,851.95
86.95,132.1,4866.8,1043.95,327.75,1078.6,505.2,71094.2,3934.35,829.1
86.15,131.55,4841.8,1037.65,327.25,1072.85,503.25,70781.65,3892.1,819.1
86.1,134.35,4848.4,1037.05,325.05,1067.1,502.55,70204.4,3871.45,817.7
85.45,132.6,4884.7,1046.2,323.4,1090.7,501.2,70249.2,3829.6,814.85
88.2,135.25,4825.2,1038.45,322.7,1089.25,500.3,71475.85,3763.7,807.65
90.4,138.8,4902.45,1048.3,325,1075.3,507.15,72324.65,3759.2,808.9
90.7,138.3,4943.85,1056.9,325.2,1080.2,511.25,72683.65,3855.55,810.2
89.9,141.95,4994.25,1041.1,325.05,1070.45,507.65,73391.6,3941.6,816.15
91.35,141.45,4952.25,1049.15,328.1,1091.35,512.1,72665.8,3871.3,822.6
93.35,143.75,4964.75,1052.85,331.75,1065.55,513.05,72690.8,4001.35,819.7
92.9,145.55,4961.9,1049.8,330.6,1048.2,507.7,72473.4,4032.3,814.2
91.25,143.4,4855.85,1042.15,327.1,1042.05,495.2,70107.8,4090.6,817.5
91.7,145.9,4769.75,1080.75,334.5,1057.2,506.35,71787.05,4072.75,822.9
93.05,144.8,4734.1,1067.75,340.7,1054.7,508.65,70825.5,4054.35,832.25
93.2,143.85,4733.3,1072.6,339.35,1037.8,504.05,70624,4000.85,803.95
94.3,152.4,4781.95,1076.55,342.75,1030.9,504.25,71162.55,4043.5,803.2
94.65,159.05,4755.75,1088.85,339.6,1026.25,516.25,72156.25,4033.9,814.85
97.85,165.8,4764.15,1096.35,340.75,1027.5,514.4,72329.2,4014.35,813.7
97.5,168.65,4772.5,1093.9,344.75,1029.5,516.05,71640.9,4052.7,809.05
94.4,156.25,4641.15,1100.85,340.55,1016.6,515.25,70013.8,4069.15,796.8
95.15,156.2,4628,1100.85,340.3,1017.55,520.9,70171.05,4092.8,800.75
94.25,153.95,4550.45,1099.25,338.35,1011.7,504.2,68827.45,4096.8,783.65
92.5,154.45,4530.45,1100.2,339.25,1008.6,505.8,68528.45,4173.85,782.65
94.85,157.5,4616.7,1122.65,339.1,1039,499.05,68615.1,4233.9,802.3
93.5,153.2,4726.45,1117.65,344.45,1051.6,509.6,69259.4,4192.8,822.2
100.35,152.35,4740.5,1130.45,349.7,1053.3,525.4,71776.65,4207.95,831
100.2,156.8,4684.15,1121.35,355.6,1053.4,522.35,68113.35,4182.65,869.55
101.6,160.2,4705.6,1138.6,358.6,1057.7,552.85,68261.55,4121.35,884.15
101.9,162.35,4692.1,1148.8,359.7,1060,575.5,66906.75,4206.15,896.2
103,167.15,4625.6,1151,353.75,1075,580.55,67543.65,4230.8,884.1
104.15,178.35,4719.25,1154.3,359.2,1117.6,576.25,68894.5,4287.4,886.9
104.45,173.15,4736.45,1157.15,364,1085.4,584.15,69930.7,4245.95,905.7
104.55,164.8,4707.35,1172.55,363.1,1092.7,552.65,69677.3,4208,909.75
97.55,165.4,4684.45,1150.95,363.8,1050.95,547.6,69156,4094.05,891.45
97.45,162.35,4631.5,1159.2,364.65,1035.15,552.1,68804.45,4026.65,885.85
99.9,165.2,4749.8,1141.85,358.9,999.35,559.35,70420.8,4096.2,893.1
99,156.95,4677.35,1131.15,358.4,1005.65,556.7,70284.55,4091.05,889.4
101.45,164.4,4719.85,1140.7,361.25,1000.7,558.5,71534,4068.45,918.25
102.7,163,4708.3,1139.6,358.15,991.3,549.1,71970.95,4125.3,903.8
103.5,163.3,4721.55,1125.05,359.9,985,548.8,72311.95,4147.4,906.9
103.8,162.5,4674.75,1118.25,357.8,978.45,549.7,72481.5,4097.3,917.6
101.1,164.5,4641.95,1120.6,359.35,988.25,552.25,73025.05,4051.05,932.95
101.95,161.65,4693.75,1117.7,361.35,994.7,563.1,72610.5,4110.3,926.1
102.35,161.8,4644.1,1100.7,358.2,990.05,566.05,72905.9,4101.65,909.7
100.75,163.9,4626.4,1094.35,355,989.45,562.85,71219.85,4060.75,892.9
98.55,157.85,4680.95,1098.35,354.65,986.4,555.65,71173.35,4163.05,856.3
98.2,157.95,4656.05,1100.75,349.05,981.55,549.25,71246.1,4000.25,845.15
95.15,161.5,4738.25,1102.6,349,986.25,554.45,72402.85,4066.75,852.45
92.5,160.65,4709.25,1100,349.7,999.45,562.45,72357.05,4098.05,858.15
92.15,162.75,4666.05,1085.7,344.8,984.45,550.5,73497.95,4061.55,851.7
92.65,166,4735.15,1079.45,352.95,984.55,549.5,73080.05,4022.95,849.05
93,166.5,4745.6,1083.85,353.5,978.15,550,74062,4009.4,854.8
92.2,168,4746.65,1091.65,353.55,987.6,550.05,72817.8,3979.75,856.85
91.4,167.9,4732.7,1090.55,349.65,989.1,549.05,70860.55,4059.55,858.45
90.15,166.65,4745.4,1083.3,350.8,983.55,558.6,68913.8,4041.55,862.95
90.05,168.3,4756.55,1074.3,350.05,990.7,553.95,69389.7,4082.75,868.35
89.25,169.4,4699.5,1078.85,347.65,988.2,551.25,69184.6,3944.9,840.1
89.9,165.25,4703.6,1072.4,342.25,987.6,556.1,67703.6,3909.7,832.85
89.6,165.85,4694.85,1057.75,344.2,996.25,542.1,65952.8,3899.85,816.25
89.6,163.75,4814.85,1050.7,345.75,991.65,535.15,66072.6,3859.75,818.95
91.7,165.6,4860.1,1067.05,348.15,1008.15,546.3,66407.4,3853.6,822.4
91.75,167.45,4869.2,1079.9,349.55,1026.8,538.7,67863.45,3868.4,820.6
92.1,167.45,4855.85,1069.45,351.15,1007.65,537.1,68226.15,3779.8,810.95
91.55,167.95,4923.25,1050.75,345.45,995.15,525.75,67063.25,3730.25,800.6
90.3,165.95,4760.45,1040.1,342.55,1003.75,510.15,66871.05,3719.85,773.6
