Date,Expiry Date,Strike Price (K),Call Price,Put Price
01-Oct-14,24-Dec-14,5000,3000,3.5
07-Oct-14,24-Dec-14,5000,2930.3,3.95
08-Oct-14,24-Dec-14,5000,2936.65,2.15
09-Oct-14,24-Dec-14,5000,3027.5,2.15
10-Oct-14,24-Dec-14,5000,2923.7,2.5
13-Oct-14,24-Dec-14,5000,2945.5,2.7
14-Oct-14,24-Dec-14,5000,2936.7,2.3
16-Oct-14,24-Dec-14,5000,2818.5,4.45
17-Oct-14,24-Dec-14,5000,2841.3,2.7
20-Oct-14,24-Dec-14,5000,2932.7,2.45
21-Oct-14,24-Dec-14,5000,2976,3.15
22-Oct-14,24-Dec-14,5000,3053.95,4.1
23-Oct-14,24-Dec-14,5000,3055,0
27-Oct-14,24-Dec-14,5000,3051.25,2
28-Oct-14,24-Dec-14,5000,3090.05,0
29-Oct-14,24-Dec-14,5000,3137.65,3
30-Oct-14,24-Dec-14,5000,3181.85,2.15
31-Oct-14,24-Dec-14,5000,3348.15,1.55
03-Nov-14,24-Dec-14,5000,3375.4,2.05
05-Nov-14,24-Dec-14,5000,3387.6,2.25
07-Nov-14,24-Dec-14,5000,3393,2.45
10-Nov-14,24-Dec-14,5000,3395,1.35
11-Nov-14,24-Dec-14,5000,3419.8,2
12-Nov-14,24-Dec-14,5000,3433.35,2.2
13-Nov-14,24-Dec-14,5000,3392.5,2.5
14-Nov-14,24-Dec-14,5000,3422.5,2.4
17-Nov-14,24-Dec-14,5000,3473.85,2
18-Nov-14,24-Dec-14,5000,3466.2,0
19-Nov-14,24-Dec-14,5000,3423.9,2
20-Nov-14,24-Dec-14,5000,3438.7,1.95
21-Nov-14,24-Dec-14,5000,3514.95,1.8
24-Nov-14,24-Dec-14,5000,3560.65,0
25-Nov-14,24-Dec-14,5000,3494,1.3
26-Nov-14,24-Dec-14,5000,3501,1.2
27-Nov-14,24-Dec-14,5000,3523.1,0.9
28-Nov-14,24-Dec-14,5000,3621.2,0.9
01-Dec-14,24-Dec-14,5000,3573.35,0
02-Dec-14,24-Dec-14,5000,3554.95,0.75
