Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,31-Dec-2018,25-Jun-2020,PE,13500,0,0,0,944.4,0,1691.25,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,25-Jun-2020,PE,13600,0,0,0,1035.45,0,1757.05,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,25-Jun-2020,PE,13700,0,0,0,1071.6,0,1824.4,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,25-Jun-2020,PE,13800,0,0,0,1053,0,1892.3,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,25-Jun-2020,PE,13900,0,0,0,1068.85,0,1961.1,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,25-Jun-2020,PE,14000,0,0,0,1087.15,0,2030.85,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,25-Jun-2020,PE,14100,0,0,0,1079.05,0,2101.45,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,4600,0,0,0,86.9,0,0.05,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,4700,0,0,0,95.6,0,0.05,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,4800,0,0,0,34.8,0,0.05,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,4900,0,0,0,30.75,0,0.05,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,5000,0,0,0,18.95,0,0.05,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,5100,0,0,0,22.1,0,0.05,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,5200,0,0,0,34.15,0,0.1,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,5300,0,0,0,13.65,0,0.1,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,5400,0,0,0,20.55,0,0.15,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,5500,0,0,0,109.9,109.9,0.15,0,0,0,600,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,5600,0,0,0,8.2,0,0.25,0,0,0,0,0,10862.55
